
     C program for Modified Euler Method

  Enter the initial value of x:-1

  Enter the value of increment h:0.05

  Enter the final value of x:1

  Enter the initial value of the variable y :1


 The respective values of x and y are
     x               y

  -1.000000     1.000000
  -0.950000     1.100062
  -0.900000     1.200386
  -0.850000     1.301239
  -0.800000     1.402905
  -0.750000     1.505682
  -0.700000     1.609884
  -0.650000     1.715839
  -0.600000     1.823894
  -0.550000     1.934414
  -0.500000     2.047781
  -0.450000     2.164398
  -0.400000     2.284687
  -0.350000     2.409093
  -0.300000     2.538085
  -0.250000     2.672153
  -0.200000     2.811813
  -0.150000     2.957611
  -0.100000     3.110116
  -0.050000     3.269928
  0.000000      3.437680
  0.050000      3.614034
  0.100000      3.799689
  0.150000      3.995377
  0.200000      4.201869
  0.250000      4.419976
  0.300000      4.650550
  0.350000      4.894487
  0.400000      5.152729
  0.450000      5.426264
  0.500000      5.716135
  0.550000      6.023435
  0.600000      6.349314
  0.650000      6.694982
  0.700000      7.061709
  0.750000      7.450832
  0.800000      7.863760
  0.850000      8.301965
  0.900000      8.767001
  0.950000      9.260501
  1.000000      9.784181
