Enter x0,y0,xn,h:1
2
2
0.025


X               Y
1.025000        1.991828
1.050000        1.983656
1.075000        1.975484
1.100000        1.967311
1.125000        1.959139
1.150000        1.950967
1.175000        1.942795
1.200000        1.934623
1.225000        1.926451
1.250000        1.918278
1.275000        1.910106
1.300000        1.901934
1.325000        1.893762
1.350000        1.885590
1.375000        1.877418
1.400000        1.869246
1.425000        1.861073
1.450000        1.852901
1.475000        1.844729
1.500000        1.836557
1.524999        1.828385
1.549999        1.820213
1.574999        1.812040
1.599999        1.803868
1.624999        1.795696
1.649999        1.787524
1.674999        1.779352
1.699999        1.771180
1.724999        1.763008
1.749999        1.754835
1.774999        1.746663
1.799999        1.738491
1.824999        1.730319
1.849999        1.722147
1.874999        1.713975
1.899999        1.705802
1.924999        1.697630
1.949999        1.689458
1.974999        1.681286
1.999999        1.673114
2.024999        1.664942
